Id,y
50100,1.9652451
50101,2.334681
50102,1.6601348
50103,2.1979148
50104,1.6852381
50105,1.6043957
50106,2.064106
50107,2.4206834
50108,1.7566758
50109,2.0215592
50110,1.6470385
50111,1.7895207
50112,1.2609116
50113,1.6222917
50114,1.5982242
50115,1.9653943
50116,1.5453953
50117,1.9221901
50118,2.06368
50119,1.8892754
50120,2.1562219
50121,2.2221904
50122,1.2079628
50123,2.2067308
50124,1.2647384
50125,1.8840159
50126,1.6095637
50127,1.9287224
50128,1.4886769
50129,1.7950352
50130,1.9377408
50131,2.1235027
50132,1.6256626
50133,1.6953863
50134,1.5423908
50135,2.2603064
50136,1.8678789
50137,2.0574772
50138,1.5825596
50139,1.7484076
50140,2.045
50141,2.4621255
50142,2.05043
50143,1.7518452
50144,1.8781615
50145,2.0835788
50146,1.6847728
50147,2.2589726
50148,1.8426819
50149,1.67594
50150,1.5130215
50151,1.6883321
50152,1.3791927
50153,2.113778
50154,2.090006
50155,2.1700552
50156,1.9566505
50157,1.2748643
50158,2.312358
50159,1.3514813
50160,1.7318342
50161,2.2532256
50162,2.1301055
50163,2.1863735
50164,1.5417534
50165,1.1673276
50166,1.274026
50167,1.9038677
50168,1.8484101
50169,1.28671
50170,1.8714991
50171,2.080925
50172,1.6211768
50173,2.121721
50174,2.2635217
50175,1.836108
50176,2.338723
50177,2.2914705
50178,2.474115
50179,1.5834775
50180,2.4527898
50181,1.9978355
50182,2.0954206
50183,1.203273
50184,2.4347835
50185,1.9688681
50186,2.0172386
50187,2.4234796
50188,2.2271893
50189,2.1581845
50190,2.2870593
50191,2.0192044
50192,2.138497
50193,2.269559
50194,1.6065825
50195,1.8134366
50196,2.4020643
50197,1.7429318
50198,1.7933403
50199,2.3307078
50200,1.699363
50201,2.4325285
50202,1.7752869
50203,1.8603463
50204,1.6151717
50205,1.6418731
50206,1.882724
50207,1.8790765
50208,1.9223274
50209,1.7246771
50210,1.9589527
50211,1.4671631
50212,1.9336752
50213,2.532698
50214,2.0092347
50215,1.51151
50216,1.5501707
50217,1.558675
50218,1.7676032
50219,2.1506798
50220,2.1826491
50221,1.8696098
50222,1.893179
50223,1.7621732
50224,1.7883043
50225,2.2015185
50226,1.8437997
